Ticket Class,Ticket Priority,Ticket Number,Ticket Status,Ticket Status Original,Opened Date,Hostname,OS Type,Ticket Summary,Queue ID,Ticket Resolved Date,Resolution Code,Resolution Text,Ticket Closed Date,Call code,Reported By,Executed Automata,Recommended Automata,Actionable,Assignment Queue,Autogenerated,Automation Engine,Business Application,Closure Code,Sub Category,Target Finish Date,Time to resolve (min),Category,Alert Key,Comments & Work Notes
"INCIDENT","2","IN71739869","IN PROGRESS","INPROG","Nov 13, 2025 5:06 PM",,,"i-Book&RnR Container prd/booking-api-v3-878d76b8f-qz46j.booking-api-v3 is in restart loop for last 15 minutes","K-QWQ-HP-QNV-QNV-QN7-ECCQ",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","service-restart","Y","Y","Y",0,,"",,,,"service-restart",,
"INCIDENT","2","IN71739763","SLA HOLD","SLAHOLD","Nov 13, 2025 4:49 PM",,,"[AST] i-Book&RnR Api prd.allocation-api.8080 - kong-prd-booking-66d65cc6d-rxgdv P99 response time is critical > 50s during last 10 minutes","K-QWQ-KP-FQR-OFF-DCF-CEOG-N6QCN",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","application-handler","Y","Y","Y",0,,"",,,,"application-handler",,
"INCIDENT","1","IN88012781","IN PROGRESS","IN PROGRESS","Nov 13, 2025 12:41 PM","fgkdoqtqohif5","LINUX","Space Addition on prod servers- /dev/PSYIXPRD::/PRD","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"CHAT","x","","unknown","Y","Y",,0,"Internet Banking","","Database",,,"unknown",,
"INCIDENT","2","IN86651127","QUEUED","QUEUED","Nov 12, 2025 3:47 AM","omnd8rqone-955","Linux","It is Incident Short Description","K-QWQ-KP-FQR-QIF-DPO-RQO-DSP",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_odnh744_i576_rqo",
"INCIDENT","2","IN86651948","QUEUED","QUEUED","Nov 11, 2025 9:13 PM","vonqn685ofme54um","Linux","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_hqq_p42e_pgfjcr_igp",
"INCIDENT","2","IN86651759","SLA HOLD","SLAHOLD","Nov 11, 2025 5:02 PM","vonqc464nguo5","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_hqq_v41e_owqcn_igp",
"INCIDENT","2","IN86651755","SLA HOLD","SLAHOLD","Nov 11, 2025 4:55 PM","conqt464cfq4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application44","",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
"INCIDENT","2","IN86651512","SLA HOLD","SLAHOLD","Nov 11, 2025 1:29 PM","conqt457nk4f","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application43","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN86651564","QUEUED","QUEUED","Nov 11, 2025 12:00 PM","omnd8rqone-955","Linux","It is Incident Short Description","K-QWQ-KP-FQR-QIF-DPO-RQO-DSP",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_hdnh744_i576_rqo",
"INCIDENT","2","IN86650392","SLA HOLD","SLAHOLD","Nov 11, 2025 7:38 AM","c45266np","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application21","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN86650378","SLA HOLD","SLAHOLD","Nov 11, 2025 6:57 AM","conqt467qeo4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application40","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","1","IN86650721","SLA HOLD","SLAHOLD","Nov 10, 2025 5:36 PM","qridfq46","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application39","",,,,"unknown","acme002_qwqepkr_iqch_owqcn",
"INCIDENT","2","IN86659222","QUEUED","QUEUED","Nov 10, 2025 5:46 AM","conqt464qnr4p","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application27","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86659130","QUEUED","QUEUED","Nov 10, 2025 3:50 AM","qridfq46","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application39","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN86659128","SLA HOLD","SLAHOLD","Nov 10, 2025 3:35 AM","conqt507gee4t","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application20","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86659118","SLA HOLD","SLAHOLD","Nov 10, 2025 3:29 AM","conqt453jcp4o","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","cnn_nmiqrcr_p426_owqcn_igp",
"INCIDENT","1","IN86659062","IN PROGRESS","INPROG","Nov 10, 2025 12:00 AM","qridfq46","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"WORKAROUND USED","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application39","",,,,"unknown","cnn_hqq_v41h_ckv_igp",
"INCIDENT","1","IN86659846","SLA HOLD","SLAHOLD","Nov 9, 2025 5:36 PM","vonqn455nmrv4cn","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application3","",,,,"unknown","cnn_hqq_p42h_pgfjcr_igp",
"INCIDENT","2","IN86659710","QUEUED","QUEUED","Nov 9, 2025 5:18 PM","conqt45947npf","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application25","",,,,"unknown","cnn_npmeomp_v41e_ckv_t6_igp",
"INCIDENT","2","IN86659626","QUEUED","QUEUED","Nov 9, 2025 3:08 PM","conqt464mfk4r","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"AIOPS Production","",,,,"unknown","cnn_hqq_v41e_ckv_igp",
"INCIDENT","2","IN86659643","SLA HOLD","SLAHOLD","Nov 9, 2025 2:10 PM","qmn6","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application44","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86659541","SLA HOLD","SLAHOLD","Nov 9, 2025 11:56 AM","qridfq46","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application39","",,,,"unknown","cnn_gppcnpr_v416_ckv",
"INCIDENT","2","IN86658317","SLA HOLD","SLAHOLD","Nov 9, 2025 9:35 AM","conqt507gee4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application3","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86658046","SLA HOLD","SLAHOLD","Nov 9, 2025 1:13 AM","conqu464ncto4","WINDOWS","It is Incident Short Description","K-QWQ-KP-FQR-QOF-KPR-CFOKPN6N7-ACME",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","disk-handler","Y","Y","Y",0,,"",,,,"disk-handler","cnn_fqmqneg_i40e_ukp_igp",
"INCIDENT","1","IN86658721","QUEUED","QUEUED","Nov 8, 2025 8:16 PM","vonqn685ofme59um","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_hqq_p42h_pgfjcr_igp",
"INCIDENT","2","IN86658654","SLA HOLD","SLAHOLD","Nov 8, 2025 5:33 PM","conqt455qee4n","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application37","",,,,"unknown","cnn_spnomp_p42e_owqcnlctc_igp",
"INCIDENT","2","IN86658649","SLA HOLD","SLAHOLD","Nov 8, 2025 5:27 PM","vonqc457ngee4","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86658558","SLA HOLD","SLAHOLD","Nov 8, 2025 3:56 PM","conqt467gee4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application43","",,,,"unknown","cnn_nmiqrcr_v416_owqcn_igp",
"INCIDENT","2","IN86658475","SLA HOLD","SLAHOLD","Nov 8, 2025 3:00 PM","qmn6","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application44","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","1","IN86657654","SLA HOLD","SLAHOLD","Nov 8, 2025 12:35 AM","conqt454o6","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application35","",,,,"unknown","cnn_hqq_v41h_owqcn_igp",
"INCIDENT","2","IN86656448","QUEUED","QUEUED","Nov 7, 2025 4:39 AM","conqt467nlr4f","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application38","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86655394","QUEUED","QUEUED","Nov 7, 2025 3:37 AM","conqt460du4o","WINDOWS","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application42","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86655381","QUEUED","QUEUED","Nov 7, 2025 3:33 AM","conqt467nlr4f","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application38","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86655161","SLA HOLD","SLAHOLD","Nov 7, 2025 1:53 AM","conqt45064nlr","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application6","",,,,"unknown","cnn_hqq_v41e_owqcn_igp",
"INCIDENT","2","IN86655968","QUEUED","QUEUED","Nov 6, 2025 10:25 PM","conqt467gee5n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application42","",,,,"unknown","cnn_hqq_v41e_ckv_igp",
"INCIDENT","2","IN86655655","SLA HOLD","SLAHOLD","Nov 6, 2025 6:18 PM","vonqn464njcu4","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","high-memory-swap-space-handler","Y","Y","Y",0,,"",,,,"high-memory-swap-space-handler","acme002_tkpogo_pnxe_qsqg",
"INCIDENT","2","IN86654142","SLA HOLD","SLAHOLD","Nov 6, 2025 12:45 PM","conqt47784nlr","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application49","",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
"INCIDENT","2","IN86642240","SLA HOLD","SLAHOLD","Nov 5, 2025 9:25 AM","conqt467gee4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application43","",,,,"unknown","cnn_hqq_v41e_owqcn_igp",
"INCIDENT","2","IN86642001","SLA HOLD","SLAHOLD","Nov 5, 2025 7:37 AM","c45266np","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application21","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN86641136","SLA HOLD","SLAHOLD","Nov 4, 2025 2:57 PM","conqt47748npf","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application26","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN86641018","SLA HOLD","SLAHOLD","Nov 4, 2025 12:40 PM","conqt475gee4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application18","",,,,"unknown","cnn_rqcsrgv_i56e_mpc",
"INCIDENT","2","IN86641415","SLA HOLD","SLAHOLD","Nov 4, 2025 2:18 AM","conqt467nlr4o","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application37","",,,,"unknown","cnn_hqq_v41e_owqcn_igp",
"INCIDENT","2","IN88194494","SLA HOLD","SLAHOLD","Nov 3, 2025 5:53 PM","fgceogqto551","LINUX","acme#efbdnftwm117#Only 14.31 Percent free Space are left on ASM Disk Group LCMPRDDATA on Node RZ:HERME","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"WebGUI-Primary-Prod-Shared2","",,,,"database-handler","cnn_nmicnpr_i426_nkpsv",
"INCIDENT","2","IN88194483","SLA HOLD","SLAHOLD","Nov 3, 2025 5:53 PM","fgceogqto551","LINUX","acme#Only 14.31 Percent free Space are left on ASM Disk Group LCMPRDDATA on Node RZ:WODIS-acme_efbdnftw","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"WebGUI-Primary-Prod-Shared2","",,,,"database-handler","cnn_nmicnpr_i426_nkpsv",
"INCIDENT","2","IN88194482","SLA HOLD","SLAHOLD","Nov 3, 2025 5:53 PM","fgceogqto551","LINUX","acme#efbdnftwm117#Only 14.92 Percent free Space are left on ASM Disk Group LCMPRDDATA on Node RZ:LCMPR","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"WebGUI-Primary-Prod-Shared2","",,,,"database-handler","cnn_nmicnpr_i426_nkpsv",
"INCIDENT","2","IN88194481","SLA HOLD","SLAHOLD","Nov 3, 2025 5:53 PM","fgceogqto551","LINUX","acme#efbdnftwm117#Only 14.31 Percent free Space are left on ASM Disk Group LCMPRDDATA on Node RZ:LIMSM","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"WebGUI-Primary-Prod-Shared2","",,,,"database-handler","cnn_nmicnpr_i426_nkpsv",
"INCIDENT","2","IN88194480","SLA HOLD","SLAHOLD","Nov 3, 2025 5:53 PM","fgceogqto551","LINUX","acme#Only 14.31 Percent free Space are left on ASM Disk Group LCMPRDDATA on Node RZ:KEPON-acme_efbdnftw","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"WebGUI-Primary-Prod-Shared2","",,,,"database-handler","cnn_nmicnpr_i426_nkpsv",
"INCIDENT","2","IN86640821","SLA HOLD","SLAHOLD","Nov 3, 2025 11:33 AM","qmn3","AIX 7.3","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_nmiqrcr_v416_mpc_igp",
"INCIDENT","2","IN86649601","SLA HOLD","SLAHOLD","Nov 2, 2025 12:32 PM","qmn6","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application44","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","1","IN86649559","SLA HOLD","SLAHOLD","Nov 2, 2025 9:44 AM","vonqc457ngee4","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","cnn_hqq_v41h_owqcn_igp",
"INCIDENT","1","IN88180968","IN PROGRESS","INPROG","Nov 2, 2025 7:57 AM","fgceogqt054","UNIX","acme#Offline agent - RZ:TDMDBP-acme_efbdnftw610:RDB is not connected to Shared ITM6 Monitoring Environm","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","itm-agent-offline","Y","Y","Y",1,"ACME_DC_Application9","",,,,"itm-agent-offline","cnn_nmimpc_ipx8_mpcpce",
"INCIDENT","1","IN88887783","IN PROGRESS","INPROG","Nov 2, 2025 7:57 AM","fgceogqth75","WINDOWS","acme#Offline agent - RZ:TDMDBP-acme_efbdnftw610:RDB is not connected to Shared ITM6 Monitoring Environm","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","itm-agent-offline","Y","Y","Y",1,"Payment Processing","",,,,"itm-agent-offline",,
"INCIDENT","2","IN86648293","SLA HOLD","SLAHOLD","Nov 2, 2025 2:45 AM","vonqc457ngee4","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","cnn_hqq_v41e_owqcn_igp",
"INCIDENT","1","IN86648124","SLA HOLD","SLAHOLD","Nov 2, 2025 1:17 AM","vonqc464ncfq7","AIX 7.3","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_hqq_v41h_owqcn_igp",
"INCIDENT","2","IN86648007","SLA HOLD","SLAHOLD","Nov 1, 2025 11:37 PM","qmn6","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application44","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
